n,part,stage,folded_runtime_s,baseline_runtime_s,delta_runtime_s_baseline_minus_folded,folded_lut_cells,baseline_lut_cells,delta_lut_cells_baseline_minus_folded,folded_ff_cells,baseline_ff_cells,delta_ff_cells_baseline_minus_folded,folded_carry4_cells,baseline_carry4_cells,delta_carry4_cells_baseline_minus_folded,folded_wns_ns,baseline_wns_ns,delta_wns_ns_baseline_minus_folded,folded_datapath_delay_ns,baseline_datapath_delay_ns,delta_datapath_delay_ns_baseline_minus_folded,folded_logic_levels,baseline_logic_levels,delta_logic_levels_baseline_minus_folded,folded_clb_luts,baseline_clb_luts,delta_clb_luts_baseline_minus_folded,folded_clb_regs,baseline_clb_regs,delta_clb_regs_baseline_minus_folded,folded_carry4,baseline_carry4,delta_carry4_baseline_minus_folded,folded_dsp,baseline_dsp,delta_dsp_baseline_minus_folded,folded_ramb18,baseline_ramb18,delta_ramb18_baseline_minus_folded,folded_ramb36,baseline_ramb36,delta_ramb36_baseline_minus_folded,folded_total_power_w,baseline_total_power_w,delta_total_power_w_baseline_minus_folded,folded_dynamic_power_w,baseline_dynamic_power_w,delta_dynamic_power_w_baseline_minus_folded,folded_static_power_w,baseline_static_power_w,delta_static_power_w_baseline_minus_folded
5,xc7a100tcsg324-1,synth,28.657413,28.501251,-0.15616199999999836,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,4.64,0.0,5.335,5.335,0.0,3.0,3.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.0,0.0,0.0,0.0,0.091,0.091,0.0
7,xc7a100tcsg324-1,synth,28.756299,28.747703,-0.008595999999997161,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219,4.219,0.0,5.756,5.756,0.0,4.0,4.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
9,xc7a100tcsg324-1,synth,28.922421,28.867278,-0.05514300000000105,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552,3.552,0.0,6.423,6.423,0.0,4.0,4.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
11,xc7a100tcsg324-1,synth,29.203283,29.092722,-0.11056100000000058,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204,3.18,-0.02400000000000002,6.771,6.795,0.02400000000000002,5.0,5.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
13,xc7a100tcsg324-1,synth,29.264613,29.268614,0.004000999999998811,13.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.965,3.2,0.23500000000000032,7.01,6.775,-0.23499999999999943,5.0,5.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
15,xc7a100tcsg324-1,synth,28.717321,28.53371,-0.18361099999999908,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.928,2.928,0.0,7.047,7.047,0.0,5.0,5.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.0,0.001,0.001,0.0,0.091,0.091,0.0
