n,design,part,stage,runtime_s,lut_cells,ff_cells,carry4_cells,dsp_cells,ramb18_cells,ramb36_cells,wns_ns,datapath_delay_ns,logic_levels,clb_luts,clb_regs,carry4,dsp,ramb18,ramb36,total_power_w,dynamic_power_w,static_power_w
33,folded,xc7a100tcsg324-1,synth,28.865005,50.0,0.0,0.0,0.0,0.0,0.0,0.802,9.173,7.0,34.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
33,baseline,xc7a100tcsg324-1,synth,28.90057,53.0,0.0,0.0,0.0,0.0,0.0,0.34,9.635,8.0,41.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
35,folded,xc7a100tcsg324-1,synth,28.924898,52.0,0.0,0.0,0.0,0.0,0.0,0.325,9.65,7.0,34.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
35,baseline,xc7a100tcsg324-1,synth,28.698177,52.0,0.0,0.0,0.0,0.0,0.0,0.799,9.176,7.0,33.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
37,folded,xc7a100tcsg324-1,synth,29.015076,51.0,0.0,0.0,0.0,0.0,0.0,1.011,8.964,7.0,33.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
37,baseline,xc7a100tcsg324-1,synth,28.842451,60.0,0.0,0.0,0.0,0.0,0.0,0.246,9.729,8.0,40.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
39,folded,xc7a100tcsg324-1,synth,28.905001,56.0,0.0,0.0,0.0,0.0,0.0,1.011,8.964,7.0,38.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
39,baseline,xc7a100tcsg324-1,synth,28.94631,55.0,0.0,0.0,0.0,0.0,0.0,0.462,9.513,7.0,37.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
41,folded,xc7a100tcsg324-1,synth,28.864492,59.0,0.0,0.0,0.0,0.0,0.0,0.696,9.279,8.0,44.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
41,baseline,xc7a100tcsg324-1,synth,29.076635,63.0,0.0,0.0,0.0,0.0,0.0,-0.065,10.04,8.0,44.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
43,folded,xc7a100tcsg324-1,synth,29.040883,62.0,0.0,0.0,0.0,0.0,0.0,0.094,9.881,8.0,41.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
43,baseline,xc7a100tcsg324-1,synth,29.115576,64.0,0.0,0.0,0.0,0.0,0.0,0.165,9.81,8.0,40.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
45,folded,xc7a100tcsg324-1,synth,29.332541,67.0,0.0,0.0,0.0,0.0,0.0,0.718,9.257,7.0,48.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
45,baseline,xc7a100tcsg324-1,synth,29.308802,70.0,0.0,0.0,0.0,0.0,0.0,0.444,9.531,8.0,55.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
47,folded,xc7a100tcsg324-1,synth,29.184467,72.0,0.0,0.0,0.0,0.0,0.0,0.511,9.464,7.0,52.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
47,baseline,xc7a100tcsg324-1,synth,29.014162,72.0,0.0,0.0,0.0,0.0,0.0,0.639,9.336,8.0,52.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
49,folded,xc7a100tcsg324-1,synth,29.350541,76.0,0.0,0.0,0.0,0.0,0.0,-0.061,10.036,8.0,53.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
49,baseline,xc7a100tcsg324-1,synth,29.139852,77.0,0.0,0.0,0.0,0.0,0.0,-0.137,10.112,8.0,50.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
51,folded,xc7a100tcsg324-1,synth,29.559475,78.0,0.0,0.0,0.0,0.0,0.0,-0.18,10.155,8.0,50.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
51,baseline,xc7a100tcsg324-1,synth,29.249039,77.0,0.0,0.0,0.0,0.0,0.0,-0.042,10.017,8.0,50.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
