n,part,stage,folded_runtime_s,baseline_runtime_s,delta_runtime_s_baseline_minus_folded,folded_lut_cells,baseline_lut_cells,delta_lut_cells_baseline_minus_folded,folded_ff_cells,baseline_ff_cells,delta_ff_cells_baseline_minus_folded,folded_carry4_cells,baseline_carry4_cells,delta_carry4_cells_baseline_minus_folded,folded_wns_ns,baseline_wns_ns,delta_wns_ns_baseline_minus_folded,folded_datapath_delay_ns,baseline_datapath_delay_ns,delta_datapath_delay_ns_baseline_minus_folded,folded_logic_levels,baseline_logic_levels,delta_logic_levels_baseline_minus_folded,folded_clb_luts,baseline_clb_luts,delta_clb_luts_baseline_minus_folded,folded_clb_regs,baseline_clb_regs,delta_clb_regs_baseline_minus_folded,folded_carry4,baseline_carry4,delta_carry4_baseline_minus_folded,folded_dsp,baseline_dsp,delta_dsp_baseline_minus_folded,folded_ramb18,baseline_ramb18,delta_ramb18_baseline_minus_folded,folded_ramb36,baseline_ramb36,delta_ramb36_baseline_minus_folded,folded_total_power_w,baseline_total_power_w,delta_total_power_w_baseline_minus_folded,folded_dynamic_power_w,baseline_dynamic_power_w,delta_dynamic_power_w_baseline_minus_folded,folded_static_power_w,baseline_static_power_w,delta_static_power_w_baseline_minus_folded
27,xc7a100tcsg324-1,synth,28.605481,28.502354,-0.10312700000000063,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.636,1.886,0.25,8.339,8.089,-0.25,6.0,6.0,0.0,26.0,25.0,-1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
29,xc7a100tcsg324-1,synth,28.770467,28.680418,-0.09004900000000049,37.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273,1.582,0.30900000000000016,8.702,8.393,-0.3089999999999993,7.0,6.0,-1.0,27.0,32.0,5.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
31,xc7a100tcsg324-1,synth,28.76101,28.891326,0.13031600000000054,48.0,46.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388,1.228,-0.15999999999999992,8.587,8.747,0.16000000000000014,6.0,7.0,1.0,36.0,30.0,-6.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
33,xc7a100tcsg324-1,synth,28.94148,28.833735,-0.10774499999999776,50.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802,0.34,-0.462,9.173,9.635,0.46199999999999974,7.0,8.0,1.0,34.0,41.0,7.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
35,xc7a100tcsg324-1,synth,29.003204,28.990948,-0.01225600000000071,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.799,0.47400000000000003,9.65,9.176,-0.4740000000000002,7.0,7.0,0.0,34.0,33.0,-1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
37,xc7a100tcsg324-1,synth,28.89415,28.829531,-0.06461900000000043,51.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011,0.246,-0.7649999999999999,8.964,9.729,0.7649999999999988,7.0,8.0,1.0,33.0,40.0,7.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.094,0.0010000000000000009,0.002,0.003,0.001,0.091,0.091,0.0
39,xc7a100tcsg324-1,synth,28.968279,28.92446,-0.043818999999999164,56.0,55.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011,0.462,-0.5489999999999999,8.964,9.513,0.5489999999999995,7.0,7.0,0.0,38.0,37.0,-1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.0,0.002,0.002,0.0,0.091,0.091,0.0
41,xc7a100tcsg324-1,synth,29.003832,28.915221,-0.08861100000000022,59.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,-0.065,-0.7609999999999999,9.279,10.04,0.7609999999999992,8.0,8.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.094,0.0010000000000000009,0.002,0.003,0.001,0.091,0.091,0.0
43,xc7a100tcsg324-1,synth,28.882616,29.050318,0.16770200000000202,62.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.165,0.07100000000000001,9.881,9.81,-0.07099999999999973,8.0,8.0,0.0,41.0,40.0,-1.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.0,0.003,0.003,0.0,0.091,0.091,0.0
45,xc7a100tcsg324-1,synth,28.666267,28.526809,-0.1394580000000012,67.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718,0.444,-0.27399999999999997,9.257,9.531,0.2740000000000009,7.0,8.0,1.0,48.0,55.0,7.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.0,0.003,0.003,0.0,0.091,0.091,0.0
47,xc7a100tcsg324-1,synth,28.669891,28.650224,-0.019666999999998325,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511,0.639,0.128,9.464,9.336,-0.1280000000000001,7.0,8.0,1.0,52.0,52.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.0,0.003,0.003,0.0,0.091,0.091,0.0
49,xc7a100tcsg324-1,synth,28.903764,28.617044,-0.286719999999999,76.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061,-0.137,-0.07600000000000001,10.036,10.112,0.07600000000000051,8.0,8.0,0.0,53.0,50.0,-3.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.0,0.003,0.003,0.0,0.091,0.091,0.0
51,xc7a100tcsg324-1,synth,29.026876,28.692026,-0.334850000000003,78.0,77.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.042,0.13799999999999998,10.155,10.017,-0.1379999999999999,8.0,8.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.0,0.003,0.003,0.0,0.091,0.091,0.0
53,xc7a100tcsg324-1,synth,28.929021,28.878542,-0.050478999999999274,79.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.404,0.273,9.844,9.571,-0.2729999999999997,8.0,8.0,0.0,55.0,59.0,4.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.0,0.003,0.003,0.0,0.091,0.091,0.0
55,xc7a100tcsg324-1,synth,28.934126,28.971816,0.037690000000001334,82.0,79.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.443,0.269,9.801,9.532,-0.26900000000000013,8.0,8.0,0.0,54.0,57.0,3.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.094,0.0,0.003,0.003,0.0,0.091,0.091,0.0
57,xc7a100tcsg324-1,synth,29.037233,28.990339,-0.04689400000000177,90.0,89.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.226,0.05100000000000002,9.8,9.749,-0.051000000000000156,8.0,8.0,0.0,59.0,64.0,5.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.095,0.0,0.003,0.004,0.001,0.091,0.091,0.0
59,xc7a100tcsg324-1,synth,29.236455,29.32417,0.08771499999999932,91.0,93.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,-0.258,-0.433,9.8,10.233,0.43299999999999983,8.0,8.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.095,0.0,0.003,0.004,0.001,0.091,0.091,0.0
61,xc7a100tcsg324-1,synth,29.440008,29.317909,-0.12209899999999863,95.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,-0.075,-0.201,9.849,10.05,0.2010000000000005,8.0,8.0,0.0,58.0,62.0,4.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.095,0.0,0.003,0.004,0.001,0.091,0.091,0.0
