n,target,library,folded_nd,folded_lev,folded_area,folded_delay,baseline_nd,baseline_lev,baseline_area,baseline_delay,delta_nd_baseline_minus_folded,delta_lev_baseline_minus_folded,delta_area_baseline_minus_folded,delta_delay_baseline_minus_folded
39,stdcell_proxy,asap7.genlib,239,15,23.01,370.13,275,15,28.65,342.1,36,0,5.64,-28.03
39,stdcell_proxy,mcnc.genlib,372,28,828.0,29.7,377,23,885.0,26.3,5,-5,57.0,-3.4
41,lut6,K6,59,6,59.0,6.0,59,6,59.0,6.0,0,0,0.0,0.0
41,stdcell_proxy,sky130.genlib,370,22,3609.16,1486.66,394,24,3818.21,1578.51,24,2,209.05,91.85
41,stdcell_proxy,asap7.genlib,279,16,28.89,376.54,291,16,29.69,384.34,12,0,0.8,7.8
41,stdcell_proxy,mcnc.genlib,402,25,949.0,28.5,415,27,954.0,30.1,13,2,5.0,1.6
43,lut6,K6,60,6,60.0,6.0,65,6,65.0,6.0,5,0,5.0,0.0
43,stdcell_proxy,sky130.genlib,369,22,3567.88,1486.66,388,25,3725.57,1676.65,19,3,157.69,189.99
43,stdcell_proxy,asap7.genlib,285,16,29.38,373.39,282,18,29.43,407.48,-3,2,0.05,34.09
43,stdcell_proxy,mcnc.genlib,417,25,956.0,28.2,431,30,988.0,32.2,14,5,32.0,4.0
45,lut6,K6,64,6,64.0,6.0,69,6,69.0,6.0,5,0,5.0,0.0
45,stdcell_proxy,sky130.genlib,407,24,4022.16,1705.63,422,25,4047.25,1676.65,15,1,25.09,-28.98
45,stdcell_proxy,asap7.genlib,289,17,27.52,420.39,297,18,31.19,407.48,8,1,3.67,-12.91
45,stdcell_proxy,mcnc.genlib,427,30,969.0,32.2,455,30,1046.0,32.2,28,0,77.0,0.0
47,lut6,K6,65,6,65.0,6.0,71,6,71.0,6.0,6,0,6.0,0.0
47,stdcell_proxy,sky130.genlib,420,25,4138.57,1735.24,441,25,4222.47,1676.65,21,0,83.9,-58.59
47,stdcell_proxy,asap7.genlib,306,17,30.22,420.39,309,18,32.21,407.48,3,1,1.99,-12.91
47,stdcell_proxy,mcnc.genlib,448,30,998.0,32.2,483,33,1118.0,35.2,35,3,120.0,3.0
49,lut6,K6,74,7,74.0,7.0,71,6,71.0,6.0,-3,-1,-3.0,-1.0
49,stdcell_proxy,sky130.genlib,479,26,4572.83,1633.08,429,25,4071.0,1641.64,-50,-1,-501.83,8.56
49,stdcell_proxy,asap7.genlib,341,18,35.26,412.32,324,17,33.82,403.63,-17,-1,-1.44,-8.69
49,stdcell_proxy,mcnc.genlib,468,28,1091.0,31.2,481,28,1122.0,31.5,13,0,31.0,0.3
51,lut6,K6,77,6,77.0,6.0,72,6,72.0,6.0,-5,0,-5.0,0.0
51,stdcell_proxy,sky130.genlib,471,26,4443.95,1633.08,463,25,4398.99,1666.8,-8,-1,-44.96,33.72
51,stdcell_proxy,asap7.genlib,351,18,35.68,412.32,354,17,36.6,405.54,3,-1,0.92,-6.78
51,stdcell_proxy,mcnc.genlib,492,28,1131.0,31.0,483,29,1115.0,32.0,-9,1,-16.0,1.0
53,lut6,K6,78,6,78.0,6.0,82,7,82.0,7.0,4,1,4.0,1.0
