n,design,part,stage,runtime_s,lut_cells,ff_cells,carry4_cells,dsp_cells,ramb18_cells,ramb36_cells,wns_ns,datapath_delay_ns,logic_levels,clb_luts,clb_regs,carry4,dsp,ramb18,ramb36,total_power_w,dynamic_power_w,static_power_w
35,baseline,xc7a100tcsg324-1,synth,28.990948,52.0,0.0,0.0,0.0,0.0,0.0,0.799,9.176,7.0,33.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
37,folded,xc7a100tcsg324-1,synth,28.89415,51.0,0.0,0.0,0.0,0.0,0.0,1.011,8.964,7.0,33.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
37,baseline,xc7a100tcsg324-1,synth,28.829531,60.0,0.0,0.0,0.0,0.0,0.0,0.246,9.729,8.0,40.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
39,folded,xc7a100tcsg324-1,synth,28.968279,56.0,0.0,0.0,0.0,0.0,0.0,1.011,8.964,7.0,38.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
39,baseline,xc7a100tcsg324-1,synth,28.92446,55.0,0.0,0.0,0.0,0.0,0.0,0.462,9.513,7.0,37.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
41,folded,xc7a100tcsg324-1,synth,29.003832,59.0,0.0,0.0,0.0,0.0,0.0,0.696,9.279,8.0,44.0,0.0,nan,0.0,0.0,0.0,0.093,0.002,0.091
41,baseline,xc7a100tcsg324-1,synth,28.915221,63.0,0.0,0.0,0.0,0.0,0.0,-0.065,10.04,8.0,44.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
43,folded,xc7a100tcsg324-1,synth,28.882616,62.0,0.0,0.0,0.0,0.0,0.0,0.094,9.881,8.0,41.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
43,baseline,xc7a100tcsg324-1,synth,29.050318,64.0,0.0,0.0,0.0,0.0,0.0,0.165,9.81,8.0,40.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
45,folded,xc7a100tcsg324-1,synth,28.666267,67.0,0.0,0.0,0.0,0.0,0.0,0.718,9.257,7.0,48.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
45,baseline,xc7a100tcsg324-1,synth,28.526809,70.0,0.0,0.0,0.0,0.0,0.0,0.444,9.531,8.0,55.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
47,folded,xc7a100tcsg324-1,synth,28.669891,72.0,0.0,0.0,0.0,0.0,0.0,0.511,9.464,7.0,52.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
47,baseline,xc7a100tcsg324-1,synth,28.650224,72.0,0.0,0.0,0.0,0.0,0.0,0.639,9.336,8.0,52.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
49,folded,xc7a100tcsg324-1,synth,28.903764,76.0,0.0,0.0,0.0,0.0,0.0,-0.061,10.036,8.0,53.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
49,baseline,xc7a100tcsg324-1,synth,28.617044,77.0,0.0,0.0,0.0,0.0,0.0,-0.137,10.112,8.0,50.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
51,folded,xc7a100tcsg324-1,synth,29.026876,78.0,0.0,0.0,0.0,0.0,0.0,-0.18,10.155,8.0,50.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
51,baseline,xc7a100tcsg324-1,synth,28.692026,77.0,0.0,0.0,0.0,0.0,0.0,-0.042,10.017,8.0,50.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
53,folded,xc7a100tcsg324-1,synth,28.929021,79.0,0.0,0.0,0.0,0.0,0.0,0.131,9.844,8.0,55.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
53,baseline,xc7a100tcsg324-1,synth,28.878542,83.0,0.0,0.0,0.0,0.0,0.0,0.404,9.571,8.0,59.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
55,folded,xc7a100tcsg324-1,synth,28.934126,82.0,0.0,0.0,0.0,0.0,0.0,0.174,9.801,8.0,54.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
55,baseline,xc7a100tcsg324-1,synth,28.971816,79.0,0.0,0.0,0.0,0.0,0.0,0.443,9.532,8.0,57.0,0.0,nan,0.0,0.0,0.0,0.094,0.003,0.091
57,folded,xc7a100tcsg324-1,synth,29.037233,90.0,0.0,0.0,0.0,0.0,0.0,0.175,9.8,8.0,59.0,0.0,nan,0.0,0.0,0.0,0.095,0.003,0.091
57,baseline,xc7a100tcsg324-1,synth,28.990339,89.0,0.0,0.0,0.0,0.0,0.0,0.226,9.749,8.0,64.0,0.0,nan,0.0,0.0,0.0,0.095,0.004,0.091
59,folded,xc7a100tcsg324-1,synth,29.236455,91.0,0.0,0.0,0.0,0.0,0.0,0.175,9.8,8.0,61.0,0.0,nan,0.0,0.0,0.0,0.095,0.003,0.091
59,baseline,xc7a100tcsg324-1,synth,29.32417,93.0,0.0,0.0,0.0,0.0,0.0,-0.258,10.233,8.0,61.0,0.0,nan,0.0,0.0,0.0,0.095,0.004,0.091
61,folded,xc7a100tcsg324-1,synth,29.440008,95.0,0.0,0.0,0.0,0.0,0.0,0.126,9.849,8.0,58.0,0.0,nan,0.0,0.0,0.0,0.095,0.003,0.091
61,baseline,xc7a100tcsg324-1,synth,29.317909,97.0,0.0,0.0,0.0,0.0,0.0,-0.075,10.05,8.0,62.0,0.0,nan,0.0,0.0,0.0,0.095,0.004,0.091
